gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000560	506.3089	0.006470539	0.06016377	0.6868558	0.9934974
ENSMUSG00000000561	375.9186	0.04337612	0.07888441	0.0768288	0.8078312
ENSMUSG00000000562	5.203029	-0.001597216	0.06925414	0.7622026	NA
ENSMUSG00000000563	1100.994	-0.00979045	0.05637587	0.580054	0.9892007
ENSMUSG00000000567	104.7493	-0.03617041	0.08278891	0.03092035	0.6919183
ENSMUSG00000000568	924.4624	1.47918e-05	0.05656584	0.9992906	1
ENSMUSG00000000579	61.50288	0.01272303	0.07019159	0.2138807	0.9185453
ENSMUSG00000000581	254.4397	0.00538306	0.06299534	0.7079487	0.9945077
ENSMUSG00000000594	261.8801	0.0407174	0.07470959	0.09741739	0.8330444
ENSMUSG00000000600	658.4872	-0.08400816	0.10168962	0.01089813	0.5890156
ENSMUSG00000000605	1228.649	0.004320925	0.04915479	0.8035042	0.9959254
ENSMUSG00000000627	161.3084	0.012253	0.06478134	0.4253331	0.975772
ENSMUSG00000000628	23.0735	-0.002014927	0.06715079	0.834716	0.9959254
ENSMUSG00000000631	1075.641	0.01537507	0.06381979	0.3700549	0.9710376
ENSMUSG00000000632	1921.652	-0.01991939	0.07135733	0.1689865	0.8976294
ENSMUSG00000000673	0.8107182	-8.508631e-05	0.0712634	0.9640828	NA
ENSMUSG00000000682	5.467482	-0.00275842	0.06913194	0.6420836	NA
ENSMUSG00000000686	9.357214	-0.008096076	0.0700923	0.2324737	0.9331619
ENSMUSG00000000690	0.04395546	0	0.07548602	1	NA
ENSMUSG00000000693	25.23361	0.007057066	0.06822539	0.4620816	0.9833475
ENSMUSG00000000706	0.9133552	0.002757441	0.07840867	0.1777853	NA
ENSMUSG00000000708	337.9316	-0.01613594	0.06756741	0.2920358	0.9534979
ENSMUSG00000000711	866.681	-0.000652446	0.04966824	0.9698674	0.9983069
ENSMUSG00000000724	0.2215395	0	0.07548602	1	NA
ENSMUSG00000000730	0.1140666	-0.0005860025	0.07700399	0.6614415	NA
ENSMUSG00000000731	0.5079538	-0.001568413	0.0738876	0.3943636	NA
ENSMUSG00000000732	21.33332	0.005598761	0.0677742	0.5620387	0.9863285
ENSMUSG00000000738	240.5511	-0.01191669	0.06444404	0.4403749	0.9782461
ENSMUSG00000000739	0.4568295	-6.177153e-05	0.07393143	0.965244	NA
ENSMUSG00000000740	1629.422	1.957107e-05	0.04944568	0.9990954	1
ENSMUSG00000000743	468.9379	0.01907328	0.05681085	0.3311362	0.9602468
ENSMUSG00000000751	324.5633	-0.006034373	0.05888122	0.7136245	0.9945077
ENSMUSG00000000753	30.93805	-0.02097991	0.07504769	0.05181803	0.7639268
ENSMUSG00000000759	376.0286	0.006394473	0.0519773	0.71601	0.9945077
ENSMUSG00000000766	158.8892	-0.01032238	0.06618478	0.4443312	0.9784469
ENSMUSG00000000776	77.40036	0.004664395	0.05904166	0.7732863	0.9959254
ENSMUSG00000000782	33.5638	0.0005069934	0.06544011	0.9653998	0.9983069
ENSMUSG00000000787	1981.95	0.02148746	0.06314991	0.2751054	0.9418056
ENSMUSG00000000791	3.800804	0.001718369	0.06945589	0.7161528	NA
ENSMUSG00000000792	33.2515	0.0031513	0.06767903	0.7274214	0.9945077
ENSMUSG00000000794	583.7462	-0.009657059	0.0559044	0.5860968	0.9896511
ENSMUSG00000000804	1198.428	-0.0294147	0.05979969	0.1796538	0.8976294
ENSMUSG00000000805	32.68514	0.02093155	0.0747197	0.06182141	0.7919027
ENSMUSG00000000811	19.16539	0.009528271	0.06807583	0.3903108	0.9751418
ENSMUSG00000000817	1.156622	0.002776112	0.07459461	0.2160872	NA
ENSMUSG00000000823	602.4644	-0.008707481	0.05956112	0.6027212	0.9907391
ENSMUSG00000000826	2368.616	0.006168581	0.06281381	0.6737611	0.9925851
ENSMUSG00000000827	288.5263	-0.008208049	0.05658773	0.6367002	0.9918021
ENSMUSG00000000838	427.7223	-0.004066926	0.05550448	0.8113394	0.9959254
ENSMUSG00000000861	553.8728	-0.01384853	0.06558656	0.373019	0.9710376
ENSMUSG00000000869	0.3310135	0	0.07548602	1	NA
ENSMUSG00000000876	59.19376	-0.000704406	0.06214836	0.9609171	0.9983069
ENSMUSG00000000881	1040.337	0.02048847	0.05714364	0.3039416	0.9540687
ENSMUSG00000000884	22.58597	-0.01233063	0.07016975	0.2156231	0.9186468
ENSMUSG00000000889	0.4865456	0.0003150792	0.0740834	0.8257135	NA
ENSMUSG00000000901	11.17377	-0.0004829649	0.06817672	0.95027	0.9983069
ENSMUSG00000000902	355.4194	0.02204465	0.06437584	0.2607634	0.9407565
ENSMUSG00000000903	0.3940168	-0.0008015388	0.07826105	0.5556358	NA
ENSMUSG00000000915	560.1308	0.03208529	0.07317571	0.1288406	0.8715934
ENSMUSG00000000916	66.10722	0.00260281	0.06485207	0.8342703	0.9959254
ENSMUSG00000000934	68.19165	0.0222622	0.07213724	0.1512829	0.8817938
ENSMUSG00000000938	0.06412521	0.0001546253	0.07559435	0.9065953	NA
ENSMUSG00000000948	597.8028	-0.03069228	0.0769478	0.08489466	0.8171523
ENSMUSG00000000957	40.04181	0.007270405	0.06615132	0.5542808	0.9860567
ENSMUSG00000000958	7.374008	0.004349493	0.06942649	0.4578831	NA
ENSMUSG00000000959	213.4924	0.00349852	0.05192666	0.8402538	0.9959254
ENSMUSG00000000976	185.8068	-0.01353588	0.06348602	0.4146028	0.975772
ENSMUSG00000000982	0.6541386	0.0002471348	0.07226035	0.8802557	NA
ENSMUSG00000000983	3.080647	0.006313726	0.07077141	0.1720576	NA
ENSMUSG00000001014	1.685709	-0.0005588192	0.0702145	0.836376	NA
ENSMUSG00000001016	485.4105	0.01168822	0.05158694	0.5204632	0.9833475
ENSMUSG00000001017	981.4175	0.004770457	0.0503671	0.7844624	0.9959254
ENSMUSG00000001018	273.1111	-0.01260993	0.05683102	0.4884828	0.9833475
ENSMUSG00000001020	10.08167	-0.009671451	0.06943541	0.2914057	0.9532663
ENSMUSG00000001021	7.701095	-0.004918842	0.06929457	0.4470109	NA
ENSMUSG00000001023	0.03952348	-0.0002853043	0.07585737	0.8289884	NA
ENSMUSG00000001025	42.06424	0.008053683	0.0664361	0.5125564	0.9833475
ENSMUSG00000001027	0.05517465	0	0.07548602	1	NA
ENSMUSG00000001029	8.416509	0.0003054994	0.06890963	0.9598191	NA
ENSMUSG00000001034	90.07204	0.03598346	0.08110138	0.05051869	0.755646
ENSMUSG00000001036	926.7434	-0.001394319	0.0521839	0.9356174	0.9983069
ENSMUSG00000001039	53.02639	0.000742036	0.06500454	0.9512623	0.9983069
ENSMUSG00000001052	341.7893	-0.01368171	0.0657997	0.3720495	0.9710376
ENSMUSG00000001053	56.30276	-0.004586917	0.0653084	0.7103644	0.9945077
ENSMUSG00000001054	229.2116	-0.004721657	0.0600826	0.7650361	0.9958846
ENSMUSG00000001056	125.6309	-0.04404041	0.08218072	0.05953403	0.791842
ENSMUSG00000001062	210.8916	0.001182719	0.06184278	0.9353278	0.9983069
ENSMUSG00000001065	180.0763	0.001730027	0.05260718	0.9200913	0.9983069
ENSMUSG00000001082	72.84644	-0.0005232972	0.06397406	0.9680443	0.9983069
ENSMUSG00000001089	513.9333	-0.01810981	0.06274528	0.3298097	0.9602183
ENSMUSG00000001098	288.498	0.004942023	0.05490929	0.7740089	0.9959254
ENSMUSG00000001100	415.0173	0.03408561	0.07313071	0.123816	0.8638751
ENSMUSG00000001103	4.594667	0.003866239	0.0704122	0.3036641	NA
ENSMUSG00000001105	172.6914	-0.005243054	0.06144231	0.7309274	0.9945077
ENSMUSG00000001119	1504.927	0.01513823	0.06425912	0.3690564	0.9710376
ENSMUSG00000001120	179.0161	0.02446326	0.07195898	0.1558663	0.8858903
ENSMUSG00000001123	18.85471	-0.005635844	0.0680279	0.5433432	0.9837023
ENSMUSG00000001127	955.3127	0.01060262	0.05485119	0.5559869	0.9860567
ENSMUSG00000001128	26.44985	0.01586122	0.07233103	0.1005964	0.8364967
ENSMUSG00000001131	0.1812388	0.0001552807	0.07559527	0.9062019	NA
ENSMUSG00000001134	26.59134	0.008482993	0.06853659	0.3899229	0.9751418
ENSMUSG00000001138	175.8368	0.02975191	0.07593608	0.09723532	0.8330444
ENSMUSG00000001143	193.5553	0.001515413	0.06508392	0.9003816	0.9983069
ENSMUSG00000001150	598.357	-0.03918713	0.07044596	0.1116243	0.856755
ENSMUSG00000001151	349.8932	0.02534566	0.06721918	0.2079227	0.9173345
ENSMUSG00000001155	1.001317	0.00372433	0.07363258	0.166178	NA
ENSMUSG00000001156	208.3001	-0.02574881	0.07377941	0.1231336	0.8633065
ENSMUSG00000001157	217.3315	-0.005184722	0.05640108	0.7601259	0.9958846
ENSMUSG00000001158	119.3515	0.007857177	0.06363944	0.5893401	0.9896511
ENSMUSG00000001166	5.006491	-0.0005480278	0.06896756	0.9262885	NA
ENSMUSG00000001173	690.7722	-0.01058145	0.05878479	0.5427107	0.9837023
ENSMUSG00000001175	16957.39	-0.002679339	0.04549421	0.8742531	0.9970857
ENSMUSG00000001211	1143.141	0.005236566	0.05295656	0.7638797	0.9958846
ENSMUSG00000001225	1.124081	0.0006352666	0.07016421	0.8199852	NA
ENSMUSG00000001227	597.7351	0.0226628	0.0578993	0.2668962	0.9418056
ENSMUSG00000001228	8.587382	-7.995237e-06	0.0688103	0.9989895	NA
ENSMUSG00000001229	238.0068	-0.007527245	0.06100504	0.6361623	0.9918021
ENSMUSG00000001240	34.16054	0.001295903	0.0661942	0.9050894	0.9983069
ENSMUSG00000001247	18.22475	0.0134715	0.07041159	0.1997076	0.9096831
ENSMUSG00000001248	658.8256	0.06226483	0.08419801	0.04081511	0.7263677
ENSMUSG00000001249	3.294835	-0.001409196	0.06955385	0.7466633	NA
ENSMUSG00000001260	570.7232	0.015843	0.06804487	0.2834438	0.946618
ENSMUSG00000001270	6275.685	0.004284487	0.05745292	0.7967558	0.9959254
ENSMUSG00000001280	393.3977	0.008077941	0.06116376	0.6129457	0.9907391
ENSMUSG00000001281	2.907897	-4.15577e-05	0.06962547	0.9916422	NA
ENSMUSG00000001285	149.8219	-0.002918751	0.05974679	0.8528168	0.9967687
ENSMUSG00000001288	50.37041	-0.002350138	0.06444261	0.8541251	0.9967687
ENSMUSG00000001289	646.9398	-0.001654771	0.05271264	0.9235152	0.9983069
ENSMUSG00000001300	526.0959	0.003600429	0.06162755	0.8090931	0.9959254
ENSMUSG00000001305	76.54562	0.005049187	0.0607169	0.7456842	0.9953725
ENSMUSG00000001313	407.7698	-0.002497955	0.05542159	0.8827848	0.9976529
ENSMUSG00000001323	509.0143	-0.02683559	0.06895206	0.1841515	0.8976294
ENSMUSG00000001333	3.852322	0.003390544	0.06971702	0.4678786	NA
ENSMUSG00000001334	260.5405	-0.005539104	0.06218535	0.7100119	0.9945077
ENSMUSG00000001348	0.3788852	-0.0009724468	0.07470827	0.5338935	NA
ENSMUSG00000001349	2.36569	-0.0009903969	0.06995863	0.7590095	NA
ENSMUSG00000001366	356.3509	0.04279385	0.08170666	0.06162631	0.7919027
ENSMUSG00000001376	714.8408	-0.07397412	0.09591624	0.01883125	0.6358009
ENSMUSG00000001380	404.5295	0.01898195	0.06473753	0.2984295	0.9540687
ENSMUSG00000001383	426.0305	0.01645869	0.06647422	0.3106291	0.9557403
ENSMUSG00000001403	1.417097	0.0005823654	0.07020834	0.8303715	NA
ENSMUSG00000001415	735.6201	-0.01958415	0.06730311	0.2587148	0.9407565
ENSMUSG00000001416	770.3125	0.0184054	0.05945615	0.3409659	0.9656154
ENSMUSG00000001418	132.9373	0.002697839	0.05993894	0.8629859	0.9968315
ENSMUSG00000001419	837.5326	-0.009106238	0.06261238	0.5576986	0.9860567
ENSMUSG00000001420	2.346363	-0.004156959	0.07075246	0.2499566	NA
ENSMUSG00000001424	666.2934	0.02254063	0.05876315	0.2693995	0.9418056
ENSMUSG00000001435	26.31288	-0.001109156	0.06605182	0.9198794	0.9983069
ENSMUSG00000001436	69.50968	0.01040414	0.06147269	0.5270704	0.9833475
ENSMUSG00000001440	1530.49	-0.0005136101	0.04618095	0.9758896	0.9983069
ENSMUSG00000001441	817.094	-0.02741326	0.0730052	0.1376986	0.8817938
ENSMUSG00000001444	0.1155607	-0.0002856287	0.07585822	0.8287982	NA
ENSMUSG00000001445	242.7652	-0.005440199	0.05542725	0.7515953	0.9953725
ENSMUSG00000001467	355.4643	-0.004051239	0.05864728	0.8031697	0.9959254
ENSMUSG00000001472	2224.423	0.02962587	0.06445675	0.1807352	0.8976294
ENSMUSG00000001473	4.239335	0.002807629	0.06977105	0.5117186	NA
ENSMUSG00000001482	282.5968	0.0001397726	0.04960092	0.9935415	0.9995253
ENSMUSG00000001493	5.514446	0.003170228	0.06997679	0.4303046	NA
ENSMUSG00000001494	0.5411216	0	0.07495546	1	NA
ENSMUSG00000001496	13.41143	0.001434549	0.06832551	0.8487829	0.9965697
ENSMUSG00000001504	2.584903	0.00486257	0.07459797	0.1067415	NA
ENSMUSG00000001506	23.46215	0.008029605	0.0703148	0.2026952	0.9123737
ENSMUSG00000001507	79.15852	0.02080793	0.07184408	0.1563129	0.8864678
ENSMUSG00000001508	0.2807479	-7.69278e-06	0.07536788	0.9953588	NA
ENSMUSG00000001517	9.213925	-0.01134867	0.0736462	0.04137896	NA
ENSMUSG00000001518	107.75	0.0128419	0.06379334	0.4272011	0.975772
ENSMUSG00000001520	97.25604	0.01252138	0.06826691	0.3198582	0.9584649
ENSMUSG00000001521	96.65704	0.002873403	0.06626452	0.7934742	0.9959254
ENSMUSG00000001524	70.14727	0.01417312	0.06897569	0.2701327	0.9418056
ENSMUSG00000001525	1920.719	0.02854595	0.06383528	0.1915168	0.9017065
ENSMUSG00000001542	140.6096	-0.02408557	0.07147974	0.1647156	0.8976294
ENSMUSG00000001552	325.7719	-0.005153061	0.0604388	0.7428911	0.9953725
ENSMUSG00000001555	35.51099	-0.00680407	0.06790118	0.4948894	0.9833475
ENSMUSG00000001558	2.652165	0.003916865	0.0714128	0.2198013	NA
ENSMUSG00000001569	222.7243	0.03242117	0.07746184	0.08345887	0.8171523
ENSMUSG00000001576	549.9979	0.002328504	0.05056523	0.8930756	0.9983069
ENSMUSG00000001583	0.3130506	-0.0004929661	0.07659335	0.7109634	NA
ENSMUSG00000001588	0.2445368	0.00060268	0.07683242	0.6548864	NA
ENSMUSG00000001604	1.048029	-0.001225516	0.07043581	0.6416745	NA
ENSMUSG00000001627	160.4005	0.005728433	0.06183728	0.7049106	0.9945077
ENSMUSG00000001630	220.7444	-0.0009709815	0.04928797	0.9551422	0.9983069
ENSMUSG00000001632	214.4138	-0.003779813	0.05455219	0.825657	0.9959254
ENSMUSG00000001642	257.262	0.006245295	0.0580809	0.7087283	0.9945077
ENSMUSG00000001655	0.06078082	0	0.07548602	1	NA
ENSMUSG00000001663	35.16871	-0.001055623	0.06631744	0.9214049	0.9983069
ENSMUSG00000001665	15.72357	0.006869135	0.06828914	0.4651085	0.9833475
ENSMUSG00000001666	74.2202	-0.006973617	0.06339105	0.6300261	0.9918021
ENSMUSG00000001670	0.576351	0.00031166	0.07148762	0.8650539	NA
ENSMUSG00000001672	3.038684	0.0005220208	0.06974202	0.8866323	NA
ENSMUSG00000001674	119.6623	-0.003162498	0.06062305	0.8369517	0.9959254
ENSMUSG00000001687	1296.089	0.009214662	0.05620199	0.6009115	0.9906752
ENSMUSG00000001700	93.05875	0.02049785	0.06921913	0.2185795	0.9206905
ENSMUSG00000001707	95.79425	0.007976031	0.06323763	0.5911271	0.9899008
ENSMUSG00000001729	731.6134	-0.0009145162	0.0534044	0.9575016	0.9983069
ENSMUSG00000001739	2.363766	0.0005109065	0.07004157	0.8635419	NA
ENSMUSG00000001741	25.03378	-0.00625635	0.06637697	0.5929295	0.9903349
ENSMUSG00000001750	71.30676	0.006673133	0.0666627	0.5625739	0.9863285
ENSMUSG00000001751	54.41445	0.00180061	0.0645065	0.8870109	0.9978537
ENSMUSG00000001755	101.7495	-0.00888039	0.0578477	0.6065295	0.9907391
ENSMUSG00000001761	90.46935	0.01400085	0.06802251	0.307206	0.9557403
ENSMUSG00000001763	59.26953	0.001565157	0.06340126	0.9081088	0.9983069
ENSMUSG00000001767	186.2464	-0.00270876	0.05673237	0.8710229	0.9970857
ENSMUSG00000001768	205.4466	-0.004406286	0.06132603	0.7715045	0.9959254
ENSMUSG00000001773	71.3671	-0.009110428	0.0632832	0.5477637	0.9842256
ENSMUSG00000001774	280.3097	-0.01656715	0.05823774	0.3826712	0.9751418
ENSMUSG00000001783	664.586	0.01315141	0.05772422	0.4700314	0.9833475
ENSMUSG00000001785	184.4079	0.006014065	0.05222789	0.7316251	0.9947426
ENSMUSG00000001786	258.8715	-0.006576056	0.05552763	0.7040056	0.9945077
ENSMUSG00000001794	358.9163	0.009940971	0.06118682	0.5453275	0.9838303
ENSMUSG00000001802	345.8925	0.04854561	0.08155134	0.06143838	0.7919027
ENSMUSG00000001815	0.1783387	0	0.07548602	1	NA
ENSMUSG00000001827	1.568742	0.001496175	0.07034632	0.5950544	NA
ENSMUSG00000001829	337.1727	-0.01177851	0.06315999	0.4647094	0.9833475
ENSMUSG00000001833	1691.906	0.001618606	0.05414178	0.9245756	0.9983069
ENSMUSG00000001844	112.2199	-0.005414867	0.05754409	0.7464128	0.9953725
ENSMUSG00000001847	1490.528	0.07514464	0.08289797	0.02716298	0.6813505
ENSMUSG00000001855	330.7851	-0.001671392	0.06787598	0.8427314	0.9959254
ENSMUSG00000001864	74.70253	-0.004554895	0.064837	0.7216337	0.9945077
ENSMUSG00000001870	44.24383	0.02057527	0.07293678	0.1211547	0.8633065
ENSMUSG00000001891	523.0341	-0.001584744	0.05176008	0.9269447	0.9983069
ENSMUSG00000001901	12.26341	0.01261194	0.07109168	0.1452593	0.8817938
ENSMUSG00000001909	280.115	-0.02726594	0.06676245	0.1949221	0.9047523
ENSMUSG00000001910	462.1601	-0.01088227	0.04947915	0.5436295	0.9837023
ENSMUSG00000001911	228.2556	-0.006095375	0.06686147	0.5823391	0.9892007
ENSMUSG00000001918	12.72187	0.0004970524	0.0674698	0.9560665	0.9983069
ENSMUSG00000001924	1869.266	0.000969981	0.04127627	0.9519902	0.9983069
ENSMUSG00000001930	132.8775	-0.01353533	0.06964573	0.2440355	0.9345905
ENSMUSG00000001942	117.4951	-0.0110893	0.0618613	0.5012534	0.9833475
ENSMUSG00000001943	4.201788	0.002205971	0.06980601	0.5766641	NA
ENSMUSG00000001946	60.37841	0.009426376	0.0658316	0.4825977	0.9833475
ENSMUSG00000001948	9.062972	0.001755772	0.06831927	0.8169163	NA
ENSMUSG00000001962	70.7272	0.04069594	0.08451338	0.03376197	0.6931053
ENSMUSG00000001964	107.5472	0.01805647	0.06970411	0.2200507	0.9225473
ENSMUSG00000001983	41.0499	-0.01201891	0.06408351	0.4439269	0.9784469
ENSMUSG00000001985	583.3144	0.001269477	0.06152641	0.9314641	0.9983069
ENSMUSG00000001986	1678.703	-0.05414953	0.08589381	0.04420295	0.7344079
ENSMUSG00000001988	5.243343	0.0072955	0.07105225	0.1357818	NA
ENSMUSG00000001995	265.9531	0.007158716	0.05664994	0.6772128	0.9925851
ENSMUSG00000001998	171.4083	0.003204076	0.061712	0.8287042	0.9959254
ENSMUSG00000001999	68.41781	-0.008080858	0.06592044	0.528441	0.9833475
ENSMUSG00000002006	971.5652	0.02015061	0.06270903	0.2969072	0.9540687
ENSMUSG00000002007	33.00293	0.001332107	0.06857099	0.8486052	0.9965697
ENSMUSG00000002010	510.9716	0.006682923	0.05114372	0.7042427	0.9945077
ENSMUSG00000002012	546.4016	0.05973022	0.09490153	0.01544249	0.6015699
ENSMUSG00000002014	189.6297	0.008316948	0.0598502	0.6151824	0.9907391
ENSMUSG00000002015	219.9665	0.01041734	0.05151639	0.5632686	0.9863285
ENSMUSG00000002017	112.54	-0.007889242	0.05653443	0.6490321	0.9918021
ENSMUSG00000002020	4.592034	0.006532559	0.06978823	0.3008707	NA
ENSMUSG00000002028	1781.933	-0.005688871	0.06547321	0.6481683	0.9918021
ENSMUSG00000002031	153.296	-0.009475295	0.05981265	0.5732836	0.9890353
ENSMUSG00000002032	96.97641	0.01404072	0.06297171	0.4091581	0.975772
ENSMUSG00000002043	35.97616	-0.01968131	0.07121744	0.1729299	0.8976294
ENSMUSG00000002052	1209.338	0.008609862	0.04142348	0.5951487	0.9903903
ENSMUSG00000002055	23.76681	0.01034976	0.07026372	0.2070299	0.9165668
ENSMUSG00000002058	57.71102	0.01163822	0.06685783	0.3889728	0.9751418
ENSMUSG00000002059	134.9485	0.006785924	0.06254394	0.6500306	0.9918021
